fr,todo,us
AirPods 1 / 2,,AirPods 1/2
AirPods 1 / 2,,Airpods 1/2
AirPods 3,,AirPods 3
AirPods 3,,Airpods 3
AirPods Pro,,AirPods Pro
AirPods Pro,,Airpods Pro
AirPods Pro 2,,
ALL DEVICES,,
All Size,,
Bluethooth Earphones,,
Galaxy Note 10,,Galaxy Note10
Galaxy Note 10,,Samsung Galaxy Note 10
Galaxy Note 10+,,Galaxy Note10+
Galaxy S10,,Galaxy S10
Galaxy S10,,Samsung Galaxy S10
Galaxy S10+,,Galaxy S10 Plus
Galaxy S10+,,Samsung Galaxy S10 Plus
Galaxy S10+,,Samsung Galaxy S10+
Galaxy S10e,,Galaxy S10e
Galaxy S20,,Galaxy S20
Galaxy S20,,Samsung Galaxy S20 
Galaxy S20 Ultra,,Galaxy S20 Ultra
Galaxy S20 Ultra,,Samsung Galaxy S20 Ultra
Galaxy S20+,,Galaxy S20 Plus
Galaxy S20+,,Samsung Galaxy S20 Plus
Galaxy S21,,Galaxy S21
Galaxy S21,,Samsung Galaxy S21
Galaxy S21 FE,,
Galaxy S21 Ultra,,Galaxy S21 Ultra
Galaxy S21+,,Galaxy S21 Plus
Galaxy S21+,,Samsung Galaxy S21 Plus
Galaxy S22,,
Galaxy S22 Ultra,,
Galaxy S22+,,
Galaxy S9,,Galaxy S9
Galaxy S9,,Samsung Galaxy S9
Galaxy S9+,,Galaxy S9 Plus
Galaxy S9+,,Samsung Galaxy S9+
Galaxy S9+,,Samsung Galaxy S9 Plus
HUAWEI P SMART,,Huawei P Smart 2019
iPhone 11,,iPhone 11
iPhone 11 Pro,,iPhone 11 Pro
iPhone 11 Pro Max,,iPhone 11 Pro Max
iPhone 12 / 12 Pro,,iPhone 12 /12 Pro
iPhone 12 / 12 Pro,,iPhone 12/ 12 Pro
iPhone 12 / 12 Pro,,IPhone 12
iPhone 12 Mini,,iPhone 12 mini
iPhone 12 Mini,,iPhone 12 Mini
iPhone 12 Pro Max,,iPhone 12 Pro Max
iPhone 13,,iPhone 13
iPhone 13 Mini,,iPhone 13 Mini
iPhone 13 Mini,,iPhone 13 mini
iPhone 13 Pro,,iPhone 13 Pro
iPhone 14,,iPhone 14
iPhone 14 Plus,,
iPhone 14 Pro,,iPhone 14 Pro
iPhone 14 Pro Max,,iPhone 14 Pro Max
iPhone 6 / 6S,,
iPhone 7+ / 8+,,iPhone 8 Plus/7Plus
iPhone 7+ / 8+,,iPhone 8 Plus / 7 Plus
iPhone SE / 8 / 7,,iPhone SE/8/7
iPhone X,,iPhone X
iPhone XR,,iPhone XR
iPhone XS / X,,iPhone X/XS
iPhone XS / X,,iPhone XS/X
iPhone XS Max,,iPhone XS Max
Samsung A32,,
Samsung A325,,
Samsung A33,,
Samsung A52,,
Samsung A53,,
Samsung Flip 3,,
Samsung Galaxy Z Fold 4,,
SAMSUNG J4+,,
Samsung S21 FE,,
Samsung Z Flip 4,,
Wire Earphones,,
iPhone 13 Pro Max,,iPhone 13 Pro Max
Samsung S23,,
Samsung S23 Plus,,
Samsung S23 Ultra,,
MAGSAFE COMPATIBLE DEVICES,,MAGSAFE COMPATIBLE DEVICES
"13""/14""",,13""/14"""
"13""/14""",,"13""/14
"16""",,
"15""/16""",,"15""/16
"15""/16""",,15""/16"""
Samsung A54,,
Samsung A34,,
Samsung A13,,
Samsung M33,,
Samsung A14,,
iPhone 15,,iPhone 15
iPhone 15 Pro,,iPhone 15 Pro
iPhone 15 Pro Max,,iPhone 15 Pro Max
iPhone 15 Plus,,iPhone 15 Plus
Samsung Z Flip 5,,
Samsung Z Fold 5,,
Galaxy S23 FE,,
Samsung S24,,
Samsung S24 Plus,,
Samsung S24 Ultra,,
Samsung A35,,
Samsung A55,,
Samsung A25,,
Samsung Tab A9+,,
Apple Watch 38/40,create,
Apple Watch 42/44,create,
Galaxy S10 Lite,create,Galaxy S10 Lite
Galaxy S10 Lite,,Samsung S10 Lite
Galaxy S10 Lite,,
Galaxy S8,create,
Galaxy S8 Plus,create,
"iPad 11""",create,
"iPad 12.9""",create,
iPhone 11 / XR,create,
iPhone 11 Pro Max/XS Max,create,
iPhone 11 Pro/ XS/X,create,
iPhone 11/XR,create,
iPhone S20 Ultra,create,
iPhone 14 Max,create,
Samsung S10 Lite,create,
