fr,todo,us
AIRPODS CASE,,
AIRTAG,,
APPLE WATCH STRAP,,
BACKPACK,,BackPack
BOITE PRESENTATION,,
BOOKTYPE CASE,,
BUNDLE PACK,,
CAR ACCESSORY,,
CARD HOLDER,,
CARDSLOT,,
COMPUTER BAG,,
CROSSBODY CASE,,
EARPHONES,,Earphone
HAND BAG,,Hand Bag
HARD CASE,,Hard Case
MAGSAFE WIRELESS CHARGERS,,
PHONE STRAP,,
POUCH,,
POWER BANK,,
POWER CASE,,
RING STAND,,Ring;Holder Ring
SLEEVE,,Sleeve
SPEAKER,,
TABLET ACCESSORY,,
TEMPERED GLASS,,Tempered Glass
WALLET BAG,,Wallet
HEADPHONE,,
HAND STRAP,,
CHARM,,
CHARGING CABLE,,Charging Cable
TRAVEL ADAPTOR,,
AIRPODS,create,Airpods
AIRTAG CASE,create,Airtag Case
APPLE WATCH,create,Apple Watch
BACK PACK,create,Back Pack
CAR CHARGER,create,Car Charger
CHARGER,create,Charger
CLIP,create,Clip
COMPUTER SLEEVE,create,Computer Sleeve
EARBUDS,create,Earbuds
LAPTOP BAG,create,Laptop Bag
MAGSAFE WALLET,create,MagSafe Wallet
PHONE BAG,create,Phone Bag
POWER BANK,create,Power Bank
POWER CASE,create,Power Case
STRAP,create,Strap
TABLET BAG,create,Tablet Bag
WIRELESS BASE,create,Wireless Base
