fr,todo,us,todo
ACRYLIC,,Acrylic,
ALUMINIUM,,Aluminium,
CARBON,,Carbon Fiber,
IML,,IML,
LIQUID GLITTER,,Glitter,
NYLON,,Nylon,
OTHER,,,
POLYCARBONATE,,,
PU,,PU,
REAL LEATHER,,Real Leather,
RUBBER,,Rubber,
SILICONE,,Silicone,
TEMPERED GLASS,,,
TPU,,TPU,
WOOD,,,
RHINESTONE,,,
SEQUINS,,,
BIODEGRADABLE,,,
BEAD,create,Bead,
FROSTED PC CARBON,create,Frosted PC Carbon,
PC/TPU,create,PC/TPU,
HARD CASE,create,Hard Case,
LEATHER,create,Leather,
LIQUID SILICONE,create,Liquid Silicone,
LITHIUM,create,Lithium,
METAL,create,Metal,
METALLIC,create,Metallic,
PC/TPE,create,PC/TPE,
PU CARBON,create,PU Carbon,
PU LEATHER,create,PU Leather,
REAL CARBON FIBER,create,Real Carbon Fiber,
SAFFIANO,create,Saffiano,
TPS,create,TPS,
-,create,-,
